City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
300,rio grande,-32.035,-52.0986,13.86,96,100,8.29,BR,1722820867
301,gebeit,21.0667,36.3167,26.2,63,100,2.49,SD,1722820868
302,minas de marcona,-15.2119,-75.1103,10.83,86,48,4.89,PE,1722820870
303,crane,31.3974,-102.3501,32.51,31,84,7.97,US,1722820425
304,demyansk,57.643,32.466,12.27,97,3,1.05,RU,1722820872
305,puerto baquerizo moreno,-0.9,-89.6,19.64,85,26,5.63,EC,1722820207
306,nuuk,64.1835,-51.7216,6.34,87,20,0.51,GL,1722820574
307,rexburg,43.826,-111.7897,31.73,29,20,6.69,US,1722820875
308,vorkuta,67.5,64.0,9.01,65,64,4.86,RU,1722820877
309,singkil,-7.9855,111.4161,25.47,72,21,2.62,ID,1722820878
310,bhamo,24.2667,97.2333,24.61,96,100,0.35,MM,1722820879
311,tazovsky,67.4667,78.7,7.47,68,97,5.87,RU,1722820880
312,hirado,33.3597,129.5531,29.7,82,5,5.54,JP,1722820881
313,vertientes,21.2594,-78.1464,26.34,87,100,2.0,CU,1722820882
314,turan,16.0678,108.2208,28.99,70,0,1.03,VN,1722820883
315,gaiman,-43.2897,-65.4929,10.58,43,32,2.78,AR,1722820885
316,al kharijah,25.4514,30.5464,30.74,16,26,3.48,EG,1722820643
317,yanykurgan,43.915,67.2481,25.59,25,0,3.58,KZ,1722820887
318,navarre,30.4016,-86.8636,31.0,76,74,0.89,US,1722820888
319,okeechobee,27.2439,-80.8298,26.01,89,75,6.17,US,1722820889
320,greymouth,-42.4667,171.2,7.03,93,100,2.02,NZ,1722820890
321,lazuri,47.85,22.8667,15.38,94,100,0.0,RO,1722820891
322,aldama,22.9167,-98.0667,29.16,82,21,2.08,MX,1722820892
323,amasra,41.7463,32.3863,21.64,81,4,3.81,TR,1722820894
324,saraykent,39.6936,35.5111,15.82,70,0,2.51,TR,1722820895
325,empangeni,-28.762,31.8933,19.01,70,100,5.83,ZA,1722820896
326,nueva gerona,21.8833,-82.8,28.28,75,100,2.67,CU,1722820897
327,zuwarah,32.9312,12.082,25.86,87,22,4.45,LY,1722820898
328,zahedan,29.4963,60.8629,27.95,39,0,2.06,IR,1722820804
329,mil'kovo,55.6078,37.7956,15.91,75,0,2.61,RU,1722820900
330,as sulayyil,20.4607,45.5779,35.14,15,100,3.02,SA,1722820901
331,kapa'a,22.0752,-159.319,28.18,67,100,6.69,US,1722820903
332,jieshi,22.8134,115.8257,29.22,81,100,0.06,CN,1722820904
333,alibag,18.6411,72.8792,27.04,89,100,6.73,IN,1722820905
334,karratha,-20.7377,116.8463,17.88,57,0,8.25,AU,1722820665
335,luwingu,-10.2621,29.9271,12.08,39,5,1.71,ZM,1722820907
336,ola,59.5833,151.2833,15.77,74,0,2.23,RU,1722820644
337,hastings,50.8552,0.5729,16.27,86,61,4.46,GB,1722820909
338,bereznik,62.8551,42.7072,14.62,94,100,2.22,RU,1722820910
339,souillac,-20.5167,57.5167,16.21,88,20,3.09,MU,1722820911
340,kas,36.2018,29.6377,28.01,43,0,1.78,TR,1722820913
341,labuan bajo,-8.4964,119.8877,26.53,60,11,0.97,ID,1722820914
342,masina,-4.3836,15.3914,22.16,68,74,3.09,CD,1722820915
343,lamu,-2.2717,40.902,23.45,73,12,6.06,KE,1722820916
344,tubarjal,30.4999,38.216,25.82,42,0,4.81,SA,1722820917
345,'ain benian,36.8028,2.9219,21.03,76,0,3.59,DZ,1722820918
346,punaauia,-17.6333,-149.6,27.8,57,20,1.54,PF,1722820919
347,eha amufu,6.6592,7.7596,22.3,97,100,2.01,NG,1722820921
348,tolanaro,-25.0319,46.9987,17.04,94,20,1.03,MG,1722820726
349,shingu,33.7333,135.9833,30.42,70,14,2.02,JP,1722820742
350,howard springs,-12.497,131.047,28.32,75,31,3.36,AU,1722820648
351,touros,-5.1989,-35.4608,23.33,82,16,5.36,BR,1722820669
352,vadso,70.0744,29.7487,10.49,100,100,6.17,NO,1722820926
353,dakhla,23.6848,-15.958,20.29,94,19,3.61,EH,1722820426
354,cabedelo,-6.9811,-34.8339,23.37,84,38,6.22,BR,1722820928
355,manggar,-2.8833,108.2667,28.37,69,55,5.77,ID,1722820930
356,international falls,48.6011,-93.411,20.02,64,92,1.54,US,1722820931
357,laascaanood,8.4774,47.3597,21.29,71,100,12.07,SO,1722820932
358,ladario,-19.0047,-57.6017,26.87,36,0,0.19,BR,1722820933
359,port douglas,-16.4833,145.4667,22.44,74,75,5.13,AU,1722820598
360,sinabang,2.4803,96.3801,26.93,83,57,1.52,ID,1722820908
361,illapel,-31.6308,-71.1653,9.97,82,100,1.08,CL,1722820571
362,prado,-17.3411,-39.2208,22.15,88,32,4.03,BR,1722820709
363,hailar,49.2,119.7,19.44,79,100,5.32,CN,1722820938
